                  id                  |  max  |                name                
--------------------------------------+-------+------------------------------------
 richard_donner                       |  9104 | Richard Donner
 yves-angelo                          |   377 | Yves Angelo
 omar_naim                            |  7867 | Omar Naim
 stan_winston                         |  3540 | Stan Winston
 paul_verhoeven                       |  9412 | Paul Verhoeven
 tanya_wexler                         |  2444 | Tanya Wexler
 seth_kearsley                        |  5510 | Seth Kearsley
 bava                                 |  7238 | Bava
 chris-newby                          |   893 | Chris Newby
 dorian_walker                        |  4531 | Dorian Walker
 bruno_barreto                        |  8433 | Bruno Barreto
 jeanclaude-lauzon                    |  8690 | Jean-Claude Lauzon
 yale_strom                           |   731 | Yale Strom
 adrian_lyne                          |  5015 | Adrian Lyne
 wim_wenders                          | 10024 | Wim Wenders
 paul_miller                          |  1315 | Paul Miller
 phillip_borsos                       |  5700 | Phillip Borsos
 armand_mastroianni                   |  6869 | Armand Mastroianni
 jan_hrebejk                          |  4032 | Jan Hrebejk
 tom_hanks                            |   950 | Tom Hanks
 alan_gibson                          |  6094 | Alan Gibson
 dennis-iliadis                       |  5214 | Dennis Iliadis
 josh_becker                          |  5596 | Josh Becker
 joshua_logan                         |  5043 | Joshua Logan
 hideshi_hino                         | 10051 | Hideshi Hino
 dwight_yoakam                        |  4063 | Dwight Yoakam
 larry_wachowski                      |  6510 | Larry Wachowski
 yoshifumi_kondo                      |  8248 | Yoshifumi Kondo
 alex_zamm                            |  1506 | Alex Zamm
 gavin-hood                           |  9596 | Gavin Hood
 howard_morris                        |  8650 | Howard Morris
 1078733-mark_tarlov                  |  2264 | Mark Tarlov
 gary_chapman                         |  8800 | Gary Chapman
 bob_odenkirk                         |  9553 | Bob Odenkirk
 jae_young_kwak                       |  8292 | Jae-young Kwak
 alan_taylor                          |  5073 | Alan Taylor
 tommy_ohaver                         |  9820 | Tommy O'Haver
 joe_may                              |  7931 | Joe May
 john_bonito                          |  9244 | John Bonito
 jason_alexander                      |  3647 | Jason Alexander
 bruno_pesery                         |  4939 | Bruno Pésery
 1176587-larry_clark                  |  4132 | Larry Clark
 _0557501                             |  1396 | Laetitia Masson
 john_carney                          |  9464 | John Carney
 robert_moresco                       |  9602 | Robert Moresco
 gilberto_de_anda                     |  6953 | Gilberto de Anda
 james_dr_hickox                      |  2288 | James D.R. Hickox
 peter_h_hunt                         |  5121 | Peter H. Hunt
 norman_mcleod                        |  6663 | Norman McLeod
 john_r_leonetti                      |  9267 | John R. Leonetti
 chris_smith                          |  2760 | Chris Smith
 anthony_pelissier                    |  5300 | Anthony Pelissier
 jeffrey_porter                       |  6420 | Jeffrey Porter
 lionel_c_martin                      |  1468 | Lionel C. Martin
 james_neilson                        |  6800 | James Neilson
 stanley_kubrick                      |  2492 | Stanley Kubrick
 dominique_otheningirard              |  1774 | Dominique Othenin-Girard
 wu_tianming                          |  2376 | Wu Tianming
 steve_conrad                         |  9848 | Steve Conrad
 takao_okawara                        |  8554 | Takao Okawara
 buddy_van_horn                       |  4388 | Buddy Van Horn
 _0174903                             |  5293 | Nicole Conn
 paul_o_beale                         |  9691 | Paul O. Beale
 john_cassavetes                      |  8153 | John Cassavetes
 jang_hyunsoo                         |  7255 | Jang Hyun-soo
 julie_davis                          |  5180 | Julie Davis
 jack_nicholson                       |  5081 | Jack Nicholson
 stuart_gillard                       |  7288 | Stuart Gillard
 marziyeh-meshkin                     |  3931 | Marzieh Meshkini
 james_glickenhaus                    |  4599 | James Glickenhaus
 adam_abraham                         |  2752 | Adam Abraham
 mennan-yapo                          |  9402 | Mennan Yapo
 martin_ritt                          |  8483 | Martin Ritt
 stuart_urban                         |  6492 | Stuart Urban
 claude_sautet                        |  8230 | Claude Sautet
 _0319241                             |  7179 | John Gilling
 denys_arcand                         |  7861 | Denys Arcand
 michael_oblowitz                     |  1796 | Michael Oblowitz
 andrew_prendergast                   |  2034 | Andrew Prendergast
 darrel_james_roodt                   |  3416 | Darrel James Roodt
 fredi_m_murer                        |  9678 | Fredi M. Murer
 joyce_chopra                         |  8427 | Joyce Chopra
 aaron_lubarsky                       |  6539 | Aaron Lubarsky
 1181728-eric_valette                 |  9709 | Eric Valette
 jorg_buttgereit                      |  3480 | Jörg Buttgereit
 james_f_robinson                     |  1663 | James F. Robinson
 john_glen                            |  7033 | John Glen
 e_max_frye                           |  1303 | E. Max Frye
 gyoergy_palfi                        |  9221 | György Pálfi
 mike_nichols                         |  9684 | Mike Nichols
 francesco_rosi                       |  6068 | Francesco Rosi
